doc,surfaceW,surfaceH,drawCount,status,deferredTags,note
simple_java_anim,300,300,1,RENDERS,,
sleep_quality_rings,400,400,19,RENDERS,,
small_animated,500,500,1,RENDERS,,
spline_demo_spline_demo1,300,300,1,RENDERS,,
spread_sheet,500,500,66,RENDERS,,
step_progress_arc,400,350,13,RENDERS,,
stock,256,256,42,RENDERS,,
stock_sparkline,500,350,8,RENDERS,,
stop_absolute_pos,300,300,7,RENDERS,,
stop_ends,300,300,7,RENDERS,,
stop_gently,300,300,7,RENDERS,,
stop_instantly,300,300,7,RENDERS,,
stop_notches_absolute,300,300,11,RENDERS,,
stop_notches_even,300,300,18,RENDERS,,
stop_notches_percents,300,300,14,RENDERS,,
text_baseline,600,600,19,RENDERS,,
text_refresh_bug,475,260,8,RENDERS,,
texture_demo_basic_texture,300,300,2,RENDERS,,
texture_demo_texture_clock,300,300,5,RENDERS,,
texture_demo_texture_clock_test,300,300,5,RENDERS,,
themed_plot1,500,500,8,RENDERS,,
thumb_wheel1,300,300,13,RENDERS,,
thumb_wheel2,300,300,34,RENDERS,,
touch1,300,300,4,RENDERS,,
touch2,300,300,5,RENDERS,,
touch_wrap,300,300,5,RENDERS,,
wake_demo_wake_clock,300,300,5,RENDERS,,
weather_forecast_bars,500,400,53,RENDERS,,
